,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
5,3408,USDC,USDC,usd-coin,18501,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,32600719121.1583,32600719121.1583,False,,6,,,,2024-04-16T23:22:00.000Z,1.0000777648239545,9340476636.301432,-7.1383,-0.02955967,0.00685159,-0.01319292,-0.00952378,0.00931441,-0.01913939,32603254310.341545,1.4075,32603254310.34,,2024-04-16T23:22:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-04-16 19:24:55.830674
6,52,XRP,XRP,xrp,1299,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55119895152.0,99987695075.0,False,,7,,,,2024-04-16T23:23:00.000Z,0.49758555894352996,1926327029.6994271,-18.5734,0.1827049,0.239894,-19.21382359,-19.49519567,-11.78270941,-12.53912815,27426863838.116688,1.184,49758555894.35,,2024-04-16T23:23:00.000Z,,,,,,2024-04-16 19:24:55.830674
7,74,Dogecoin,DOGE,dogecoin,953,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,143914556383.70526,143914556383.70526,True,,8,,,,2024-04-16T23:23:00.000Z,0.15703166434880408,2495215731.9992805,-31.4049,0.63326736,-3.18490842,-16.41747854,2.00087759,82.95855723,95.82303321,22599142312.953045,0.9756,22599142312.95,,2024-04-16T23:23:00.000Z,,,,,,2024-04-16 19:24:55.830674
8,11419,Toncoin,TON,toncoin,280,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3471017496.9459076,5105326303.026923,True,,9,3414166606.0,21720321485.31631,,2024-04-16T23:22:00.000Z,6.361822368933424,479628128.6893731,-19.6444,2.16006839,-3.68848583,-4.95834744,65.83170524,195.78147875,180.37677032,22081996755.029778,0.9533,32479179075.3,,2024-04-16T23:22:00.000Z,,,,,,2024-04-16 19:24:55.830674
9,2010,Cardano,ADA,cardano,1139,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35615406567.771,36798870281.388,False,,10,,,,2024-04-16T23:22:00.000Z,0.46047772516158453,519686834.4176459,-28.0956,0.13970333,0.20574807,-22.47536132,-32.0715049,-22.54677668,-12.38348753,16400101397.032148,0.708,20721497632.27,,2024-04-16T23:22:00.000Z,,,,,,2024-04-16 19:24:55.830674
10,5994,Shiba Inu,SHIB,shiba-inu,791,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589289410812691.0,589534086491242.2,False,,11,,,,2024-04-16T23:22:00.000Z,2.2822720989263896e-05,892593345.5469378,-12.2379,0.59716263,4.16414604,-17.08962742,-21.83760232,131.67717354,140.73782083,13449187804.905758,0.5811,13454771969.65,,2024-04-16T23:22:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-04-16 19:24:55.830674
11,5805,Avalanche,AVAX,avalanche,710,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,377920740.1517659,436610380.1517659,False,,12,,,,2024-04-16T23:22:00.000Z,34.98837591084143,699546475.2180413,-25.9182,0.50613188,-0.85230155,-25.01474408,-39.25602286,-12.93308534,-2.60849343,13222832920.933407,0.5708,25042885238.08,,2024-04-16T23:22:00.000Z,,,,,,2024-04-16 19:24:55.830674
12,1958,TRON,TRX,tron,970,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87626177035.71977,87626185360.10742,True,,13,71659659264.0,8024392480.70929,,2024-04-16T23:22:00.000Z,0.11197921624420201,425727951.1631053,-14.618,0.18832007,0.50108056,-7.60514241,-11.28060053,-15.70265657,3.50168592,9812310626.935593,0.4236,9812311559.09,,2024-04-16T23:22:00.000Z,,,,,,2024-04-16 19:24:55.830674
13,1831,Bitcoin Cash,BCH,bitcoin-cash,879,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19692331.25,19692331.25,False,,14,,,,2024-04-16T23:22:00.000Z,490.18184926697967,760753146.8080345,-16.8127,0.17261629,-3.591203,-27.1939402,21.92962651,78.841009,101.07599735,9652823348.502934,0.4171,10293818834.61,,2024-04-16T23:22:00.000Z,,,,,,2024-04-16 19:24:55.830674
14,6636,Polkadot,DOT,polkadot-new,742,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1434746602.8069713,1434746602.8069713,True,,15,,,,2024-04-16T23:23:00.000Z,6.72335777934979,239997812.31765756,-30.7325,0.11116369,0.52875237,-22.44544789,-33.18257352,-11.72886156,-7.74893831,9646314733.377934,0.4164,9646314733.38,,2024-04-16T23:23:00.000Z,,,,,,2024-04-16 19:24:55.830674
